           time              RR              ZZ            Qacc           Qmdom            QQ01            QQ02            QQ03            QQ04           Xkf01           Xkf02           Xkf03           Xkf04            PP01            PP02            PP03            PP04            PP05            PP06            PP07            PP08            PP09            PP10            PP11            PP12            PP13            PP14            PP15            PP16              nn              NN           boDet     sqrtNlambda             Wm0             Wc0              Wi 
   0.000000e+00    1.000000e+00    9.578423e-01    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    0.000000e+00    0.000000e+00    9.810000e+00   -3.333333e-02    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    2.500000e+01    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.111111e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   2.000000e-02    1.000000e+00    1.151728e+00    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    5.769604e-01    2.078183e-01    9.819426e+00   -3.337806e-02    5.001002e-01    1.004802e-02    2.502167e-03    4.090161e-17    1.004802e-02    1.009809e+00    5.006507e-01   -2.204739e-06    2.502167e-03    5.006507e-01    2.504341e+01   -2.207682e-04    4.090161e-17   -2.204739e-06   -2.207682e-04    1.125221e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   4.000000e-02    1.000000e+00    4.560744e-01    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    5.406938e-01    4.016750e-01    9.824510e+00   -3.342312e-02    3.337385e-01    2.045087e-02    1.168462e-02   -5.887509e-08    2.045087e-02    1.039242e+00    1.002199e+00   -8.863228e-06    1.168462e-02    1.002199e+00    2.508682e+01   -4.449696e-04   -5.887509e-08   -8.863228e-06   -4.449696e-04    1.139372e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   6.000000e-02    1.000000e+00    1.839646e+00    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    8.741274e-01    6.389482e-01    9.866600e+00   -3.346885e-02    2.509284e-01    3.158936e-02    2.754532e-02   -2.438742e-07    3.158936e-02    1.088056e+00    1.504153e+00   -2.004270e-05    2.754532e-02    1.504153e+00    2.512961e+01   -6.725188e-04   -2.438742e-07   -2.004270e-05   -6.725188e-04    1.153566e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   8.000000e-02    1.000000e+00    1.356798e+00    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    9.832557e-01    8.568557e-01    9.896647e+00   -3.351490e-02    2.016932e-01    4.383093e-02    5.005257e-02   -6.228998e-07    4.383093e-02    1.155899e+00    2.005718e+00   -3.580963e-05    5.005257e-02    2.005718e+00    2.517048e+01   -9.042771e-04   -6.228998e-07   -3.580963e-05   -9.042771e-04    1.167802e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   1.000000e-01    1.000000e+00   -1.748572e-02    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    8.296104e-01    9.961897e-01    9.822608e+00   -3.355972e-02    1.693979e-01    5.752314e-02    7.912912e-02   -1.264166e-06    5.752314e-02    1.242250e+00    2.505712e+00   -5.622262e-05    7.912912e-02    2.505712e+00    2.520713e+01   -1.139951e-03   -1.264166e-06   -5.622262e-05   -1.139951e-03    1.182080e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   1.200000e-01    1.000000e+00    1.115949e+00    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    8.903567e-01    1.212009e+00    9.859547e+00   -3.360676e-02    1.469385e-01    7.298447e-02    1.146323e-01   -2.235128e-06    7.298447e-02    1.346362e+00    3.002457e+00   -8.129146e-05    1.146323e-01    3.002457e+00    2.523611e+01   -1.376986e-03   -2.235128e-06   -8.129146e-05   -1.376986e-03    1.196401e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   1.400000e-01    1.000000e+00    1.683367e+00    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    1.016857e+00    1.478655e+00    9.986084e+00   -3.365632e-02    1.307880e-01    9.049194e-02    1.563298e-01   -3.600207e-06    9.049194e-02    1.467185e+00    3.493657e+00   -1.109964e-04    1.563298e-01    3.493657e+00    2.525256e+01   -1.617871e-03   -3.600207e-06   -1.109964e-04   -1.617871e-03    1.210765e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   1.600000e-01    1.000000e+00   -5.318521e-01    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    8.603588e-01    1.504194e+00    9.670673e+00   -3.369491e-02    1.190095e-01    1.102657e-01    2.038722e-01   -5.419843e-06    1.102657e-01    1.603290e+00    3.976288e+00   -1.453232e-04    2.038722e-01    3.976288e+00    2.525012e+01   -1.864584e-03   -5.419843e-06   -1.453232e-04   -1.864584e-03    1.225173e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   1.800000e-01    1.000000e+00    1.341242e+00    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    9.419583e-01    1.757125e+00    9.792488e+00   -3.374589e-02    1.104594e-01    1.324506e-01    2.567625e-01   -7.748753e-06    1.324506e-01    1.752785e+00    4.446490e+00   -1.841145e-04    2.567625e-01    4.446490e+00    2.522085e+01   -2.105883e-03   -7.748753e-06   -1.841145e-04   -2.105883e-03    1.239624e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   2.000000e-01    1.000000e+00   -5.986211e-01    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    8.143141e-01    1.705195e+00    9.303240e+00   -3.377698e-02    1.044224e-01    1.570957e-01    3.143277e-01   -1.062892e-05    1.570957e-01    1.913248e+00    4.899534e+00   -2.271405e-04    3.143277e-01    4.899534e+00    2.515550e+01   -2.352043e-03   -1.062892e-05   -2.271405e-04   -2.352043e-03    1.254118e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   2.200000e-01    1.000000e+00    3.354570e+00    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    1.101775e+00    2.352449e+00    1.025043e+01   -3.386045e-02    1.004262e-01    1.841342e-01    3.756949e-01   -1.409029e-05    1.841342e-01    2.081679e+00    5.329821e+00   -2.740413e-04    3.756949e-01    5.329821e+00    2.504355e+01   -2.586986e-03   -1.409029e-05   -2.740413e-04   -2.586986e-03    1.268655e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   2.400000e-01    1.000000e+00    8.811361e-01    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    1.124402e+00    2.499975e+00    1.013881e+01   -3.390415e-02    9.813883e-02    2.133651e-01    4.397803e-01   -1.814162e-05    2.133651e-01    2.254495e+00    5.731041e+00   -3.245755e-04    4.397803e-01    5.731041e+00    2.487418e+01   -2.846480e-03   -1.814162e-05   -3.245755e-04   -2.846480e-03    1.283239e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   2.600000e-01    1.000000e+00    5.782400e-01    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    1.118221e+00    2.556597e+00    9.843489e+00   -3.393947e-02    9.730835e-02    2.444422e-01    5.052931e-01   -2.278090e-05    2.444422e-01    2.427583e+00    6.096374e+00   -3.785016e-04    5.052931e-01    6.096374e+00    2.463633e+01   -3.102706e-03   -2.278090e-05   -3.785016e-04   -3.102706e-03    1.297868e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   2.800000e-01    1.000000e+00    1.940605e+00    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    1.246499e+00    2.966528e+00    1.028932e+01   -3.401028e-02    9.772451e-02    2.768727e-01    5.707662e-01   -2.798278e-05    2.768727e-01    2.596427e+00    6.418892e+00   -4.351693e-04    5.707662e-01    6.418892e+00    2.432004e+01   -3.349734e-03   -2.798278e-05   -4.351693e-04   -3.349734e-03    1.312540e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   3.000000e-01    1.000000e+00    1.762291e+00    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    1.352962e+00    3.313264e+00    1.058477e+01   -3.407527e-02    9.919536e-02    3.100300e-01    6.346141e-01   -3.369638e-05    3.100300e-01    2.756307e+00    6.692054e+00   -4.940010e-04    6.346141e-01    6.692054e+00    2.391753e+01   -3.605976e-03   -3.369638e-05   -4.940010e-04   -3.605976e-03    1.327259e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   3.200000e-01    1.000000e+00    4.523603e+00    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    1.736327e+00    4.589674e+00    1.274880e+01   -3.424897e-02    1.015334e-01    3.431826e-01    6.952132e-01   -3.985421e-05    3.431826e-01    2.902577e+00    6.910239e+00   -5.545318e-04    6.952132e-01    6.910239e+00    2.342382e+01   -3.866624e-03   -3.985421e-05   -5.545318e-04   -3.866624e-03    1.342024e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   3.400000e-01    1.000000e+00    4.366578e+00    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    2.095798e+00    5.797067e+00    1.466211e+01   -3.441717e-02    1.045493e-01    3.755378e-01    7.510077e-01   -4.637459e-05    3.755378e-01    3.030970e+00    7.069346e+00   -6.167635e-04    7.510077e-01    7.069346e+00    2.283816e+01   -4.181655e-03   -4.637459e-05   -6.167635e-04   -4.181655e-03    1.356848e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
   3.600000e-01    1.000000e+00    4.318996e+00    1.000000e-02    1.111111e-05    1.000000e-02    0.000000e+00    0.000000e+00    1.111111e-05    2.442047e+00    6.945392e+00    1.635705e+01   -3.458021e-02    1.080516e-01    4.062974e-01    8.006126e-01   -5.318532e-05    4.062974e-01    3.137915e+00    7.167177e+00   -6.811808e-04    8.006126e-01    7.167177e+00    2.216359e+01   -4.544817e-03   -5.318532e-05   -6.811808e-04   -4.544817e-03    1.371730e-03    4.000000e+00    7.000000e+00    0.000000e+00    1.732051e-03   -2.333332e+06   -2.333329e+06    1.666667e+05 
